date,game,category,sales,first_commission,final_commission
q4-2021,BET_3,bettting,3984.5,287.81,266.26
q4-2021,BET_4,bettting,14601.75,1523.59,1559.42
q4-2021,V-SOCCER_1,virtual,12693.5,482.37,457.16
q4-2021,V-SOCCER_2,virtual,317.75,18.74,15.18
q4-2021,V-SOCCER_3,virtual,45.75,3.59,3.25
q4-2021,V-SOCCER_4,virtual,70.75,7,5.76
q1-2022,FINO,lottery,68677.5,5021.88,5082.67
q1-2022,FINO SELF,lottery,258,12.21,13.14
q1-2022,JACKPOT,lottery,12595,1574.48,1638.24
q1-2022,LOTO,lottery,1890.5,274.22,292.93
q1-2022,SEVEN-IN-ROW,lottery,622.5,72.89,58.29
q1-2022,LUCKY-3,lottery,535,51.93,50.56
q1-2022,PLUS-5,lottery,351.5,34.02,30.44
q1-2022,CAST WED,bettting,18,2.57,2.6
q1-2022,CAST SAT,bettting,2.25,0.32,0.33
q1-2022,CAST SUN,bettting,24,3.43,3.51
q1-2022,CASTGOALS,bettting,6.25,0.93,0.93
q1-2022,LUCKYSPIN,virtual,15438.75,402.04,425.29
q1-2022,GREYHOUNDS,bettting,43,1.25,0.98
q1-2022,BET_1,bettting,10170.25,248.62,231.66
q1-2022,BET_2,bettting,6010.5,300.66,322.99
q1-2022,BET_3,bettting,4859.75,340.3,360.35
q1-2022,BET_4,bettting,14227.5,1422.96,1468.42
q1-2022,V-SOCCER_1,virtual,43295.25,1645.25,1591.58
q1-2022,V-SOCCER_2,virtual,5044,297.63,256.38
q1-2022,V-SOCCER_3,virtual,2518.5,196.49,183.79
q1-2022,V-SOCCER_4,virtual,179.75,17.79,14.64
q2-2022,FINO,lottery,66667,4873.77,4994.38
q2-2022,FINO SELF,lottery,900.5,42.1,43.93
q2-2022,JACKPOT,lottery,12999,1625.05,1676.72
q2-2022,LOTO,lottery,1208,175.3,159.28
q2-2022,SEVEN-IN-ROW,lottery,715.5,83.74,55.36
q2-2022,LUCKY-3,lottery,448.5,43.57,47.7
q2-2022,PLUS-5,lottery,220.5,21.4,29.15
q2-2022,CAST WED,bettting,32,4.58,4.34
q2-2022,CAST SAT,bettting,20,2.86,2.89
q2-2022,CAST SUN,bettting,15,2.14,2.18
